recall,precision,f1,module
0.21212121212121213,0.28,0.24137930543995254,t5
0.18354430379746836,0.29,0.22480619680307684,t5
0.19834710743801653,0.21428571428571427,0.20600857869844733,t5
0.2013888888888889,0.1858974358974359,0.1933333283413335,t5
0.18120805369127516,0.21951219512195122,0.19852940681039155,t5
0.24444444444444444,0.28448275862068967,0.2629482021999651,t5
0.16981132075471697,0.2621359223300971,0.20610686545743265,t5
0.16666666666666666,0.26126126126126126,0.203508767174146,t5
0.16993464052287582,0.24299065420560748,0.19999999515650901,t5
0.19083969465648856,0.22321428571428573,0.20576131190299596,t5
0.22077922077922077,0.2786885245901639,0.2463768066614158,t5
0.23255813953488372,0.2777777777777778,0.25316455200128196,t5
0.14743589743589744,0.22115384615384615,0.17692307212307704,t5
0.23376623376623376,0.2589928057553957,0.24573378340900892,t5
0.1650485436893204,0.21794871794871795,0.18784529896279126,t5
0.13709677419354838,0.17708333333333334,0.15454544962644642,t5
0.23809523809523808,0.2777777777777778,0.2564102514398423,t5
0.1864406779661017,0.20952380952380953,0.19730941205735097,t5
0.20714285714285716,0.25217391304347825,0.22745097544021542,t5
0.20754716981132076,0.27049180327868855,0.23487543992654614,t5
0.2608695652173913,0.23622047244094488,0.247933879309815,t5
0.11282051282051282,0.22,0.14915253789141064,t5
0.12781954887218044,0.19767441860465115,0.15525113678280283,t5
0.18584070796460178,0.168,0.17647058324800527,t5
0.2222222222222222,0.35294117647058826,0.27272726798553726,t5
0.24166666666666667,0.23770491803278687,0.23966941648794493,t5
0.13071895424836602,0.23529411764705882,0.16806722229891968,t5
0.23255813953488372,0.2777777777777778,0.25316455200128196,t5
0.20915032679738563,0.3137254901960784,0.2509803873568628,t5
0.2542372881355932,0.19607843137254902,0.22140220910554062,t5
0.12173913043478261,0.15384615384615385,0.13592232516495448,t5
0.14285714285714285,0.21951219512195122,0.1730769183006658,t5
0.13924050632911392,0.176,0.15547702687010714,t5
0.18666666666666668,0.17391304347826086,0.1800643036879273,t5
0.176,0.16666666666666666,0.17120622068464333,t5
0.23008849557522124,0.2524271844660194,0.24074073575145755,t5
0.25862068965517243,0.26785714285714285,0.2631578897383811,t5
0.1893939393939394,0.211864406779661,0.1999999950156801,t5
0.1864406779661017,0.21359223300970873,0.19909501764746845,t5
0.29285714285714287,0.3445378151260504,0.3166023116351874,t5
0.14545454545454545,0.18823529411764706,0.16410255918474703,t5
0.2,0.24107142857142858,0.2186234768247309,t5
0.2824427480916031,0.3333333333333333,0.3057851190010929,t5
0.18461538461538463,0.1702127659574468,0.17712176622595024,t5
0.23529411764705882,0.2204724409448819,0.22764227142805218,t5
0.22413793103448276,0.22608695652173913,0.2251082201083189,t5
0.17333333333333334,0.2549019607843137,0.20634920153061237,t5
0.22297297297297297,0.21568627450980393,0.21926909799141303,t5
0.18633540372670807,0.2727272727272727,0.2214022091992212,t5
0.24242424242424243,0.27586206896551724,0.258064511149844,t5
0.21311475409836064,0.23008849557522124,0.22127659075201458,t5
0.125,0.2328767123287671,0.16267942129163723,t5
0.2323943661971831,0.24444444444444444,0.2382671430176336,t5
0.14743589743589744,0.2169811320754717,0.17557251426606857,t5
0.168141592920354,0.2,0.1826923027297524,t5
0.2619047619047619,0.22602739726027396,0.2426470538505624,t5
0.15625,0.18796992481203006,0.17064845920628094,t5
0.19230769230769232,0.22727272727272727,0.20833332836805565,t5
0.14545454545454545,0.2553191489361702,0.18532818070392523,t5
0.24161073825503357,0.32727272727272727,0.2779922731056485,t5
0.1926605504587156,0.15789473684210525,0.17355371405744158,t5
0.1610738255033557,0.25263157894736843,0.19672130672030377,t5
0.24855491329479767,0.3282442748091603,0.2828947319375433,t5
0.26282051282051283,0.3333333333333333,0.29390680510579265,t5
0.25874125874125875,0.2483221476510067,0.2534246525363577,t5
0.19083969465648856,0.22727272727272727,0.20746887470601413,t5
0.22142857142857142,0.2980769230769231,0.2540983557645795,t5
0.16216216216216217,0.2857142857142857,0.20689654710463742,t5
0.16666666666666666,0.2,0.18181817685950424,t5
0.1724137931034483,0.22123893805309736,0.1937984446893217,t5
0.22131147540983606,0.27,0.24324323829234648,t5
0.1885245901639344,0.21495327102803738,0.20087335746686763,t5
0.23121387283236994,0.2857142857142857,0.25559104936867794,t5
0.15384615384615385,0.1476510067114094,0.1506849265089606,t5
0.17692307692307693,0.19827586206896552,0.1869918649348934,t5
0.18115942028985507,0.23148148148148148,0.20325202759468583,t5
0.2601626016260163,0.25196850393700787,0.25599999500128007,t5
0.14965986394557823,0.24175824175824176,0.18487394485664865,t5
0.2318840579710145,0.27586206896551724,0.251968498974518,t5
0.21481481481481482,0.26126126126126126,0.2357723527711681,t5
0.2153846153846154,0.25688073394495414,0.23430961846956472,t5
0.23417721518987342,0.2215568862275449,0.2276923026961421,t5
0.13709677419354838,0.20987654320987653,0.1658536537565736,t5
0.24444444444444444,0.2558139534883721,0.24999999500258271,t5
0.1984732824427481,0.2765957446808511,0.2311111062463211,t5
0.12727272727272726,0.1891891891891892,0.15217390823487725,t5
0.21951219512195122,0.24770642201834864,0.23275861570786277,t5
0.24031007751937986,0.2540983606557377,0.24701194719512398,t5
0.1810344827586207,0.23076923076923078,0.2028985457975683,t5
0.20535714285714285,0.23469387755102042,0.2190476140698414,t5
0.15827338129496402,0.24444444444444444,0.19213973322019043,t5
0.22485207100591717,0.3247863247863248,0.2657342608995551,t5
0.21052631578947367,0.19310344827586207,0.20143884393017972,t5
0.2222222222222222,0.2318840579710145,0.22695034961219265,t5
0.18023255813953487,0.19254658385093168,0.1861861811916422,t5
0.14556962025316456,0.25274725274725274,0.1847389511853036,t5
0.2792207792207792,0.2866666666666667,0.282894731842971,t5
0.1732283464566929,0.24175824175824176,0.20183485752167338,t5
0.203125,0.23423423423423423,0.21757321678261948,t5
0.16666666666666666,0.23863636363636365,0.19626167740064648,t5
0.2246376811594203,0.3163265306122449,0.2627118595504166,t5
0.19548872180451127,0.2653061224489796,0.22510822022300941,t5
0.19230769230769232,0.1984126984126984,0.19531249500122086,t5
0.27350427350427353,0.1927710843373494,0.22614840504388878,t5
0.15,0.192,0.16842104770698693,t5
0.2074074074074074,0.1891891891891892,0.1978798536677947,t5
0.21212121212121213,0.23529411764705882,0.22310756473452814,t5
0.14049586776859505,0.1504424778761062,0.1452991403049896,t5
0.20567375886524822,0.26605504587155965,0.2319999950819201,t5
0.256,0.26666666666666666,0.2612244847980009,t5
0.17333333333333334,0.2549019607843137,0.20634920153061237,t5
0.145,0.2543859649122807,0.18471337117124437,t5
0.25,0.3050847457627119,0.2748091553545831,t5
0.18243243243243243,0.24545454545454545,0.20930232068986251,t5
0.17424242424242425,0.21296296296296297,0.19166666171666683,t5
0.2112676056338028,0.22058823529411764,0.2158273331318256,t5
0.1643835616438356,0.20689655172413793,0.18320610193578477,t5
0.1794871794871795,0.1875,0.18340610853950165,t5
0.1643835616438356,0.1889763779527559,0.17582417084839472,t5
0.31896551724137934,0.2890625,0.30327868353668375,t5
0.1564625850340136,0.21904761904761905,0.18253967767857157,t5
0.16783216783216784,0.21621621621621623,0.18897637303211623,t5
0.2624113475177305,0.2534246575342466,0.25783971625587304,t5
0.13846153846153847,0.13953488372093023,0.13899613399621372,t5
