time,comment,event,event_player,event_team,comment_desc,home_team,home_team_abbr,away_team,away_team_abbr,full_time_score,match_x,date,link,match_y,match_day,live_ticker,stage,leg,time_detail
63," Jesus gets the assist, but the pass and run from Rodri and Walker respectively were the architects of that equaliser. The crowd's lifted too with that goal and this game just continues to electrify more and more. ",assist,"[' Gabriel Jesus ', ' Assist ']",Manchester City,timer,Manchester City,MCI,PSG,PSG,2 - 1,Manchester city Vs Psg,11/24/21,https://www.goal.com/en/match/manchester-city-vs-psg/409iyefp9jmhwy2dvuul0mec4,Manchester city Vs Psg,11/24/21,https://www.goal.com/en/match/manchester-city-vs-psg/409iyefp9jmhwy2dvuul0mec4,Group Stage,2,Normal Time
63, Lang is shown the first yellow card of the night after a poor challenge on Gvardiol. ,yellow_card,"[' N. Lang ', ' Yellow Card ']",Club Brugge,timer,Club Brugge,CLU,RB Leipzig,RBL,0 - 5,Club brugge Vs Rb Leipzig,11/24/21,https://www.goal.com/en/match/club-brugge-vs-rb-leipzig/40cf95umd9x3icd9le53xy42c,Club brugge Vs Rb Leipzig,11/24/21,https://www.goal.com/en/match/club-brugge-vs-rb-leipzig/40cf95umd9x3icd9le53xy42c,Group Stage,2,Normal Time
63, Reinildo sticks an arm across Pogba's chest to stop his bursting run down the right. He gives away a free-kick and has his name taken by the referee. ,yellow_card,"[' Reinildo ', ' Yellow Card ']",Atletico Madrid,timer,Atletico Madrid,ATM,Manchester United,MUN,1 - 1,Atletico madrid Vs Manchester United,02/23/22,https://www.goal.com/en/match/atletico-madrid-vs-manchester-united/pf15v919indsocrbpnrjuoes,Atletico madrid Vs Manchester United,02/23/22,https://www.goal.com/en/match/atletico-madrid-vs-manchester-united/pf15v919indsocrbpnrjuoes,R16,1,Normal Time
63, Weghorst makes way for Lukebakio. ,substitution,"[' D. Lukebakio ', ' W. Weghorst ']",Wolfsburg,timer,Wolfsburg,WOB,Salzburg,RBS,2 - 1,Wolfsburg vs Salzburg,11/02/21,https://www.goal.com/en/match/wolfsburg-vs-salzburg/7syd7r8dg2dboymoyepz6olqs,Wolfsburg vs Salzburg,11/02/21,https://www.goal.com/en/match/wolfsburg-vs-salzburg/7syd7r8dg2dboymoyepz6olqs,Group Stage,2,Normal Time
63, Oxlader-Chamberlain replaces Milner as Klopp aims to avoid a potential dismissal for the veteran midfielder. ,substitution,"[' A. Oxlade-Chamberlain ', ' J. Milner ']",Liverpool,timer,Atletico Madrid,ATM,Liverpool,LIV,2 - 3,Atletico madrid Vs Liverpool,10/19/21,https://www.goal.com/en/match/atletico-madrid-vs-liverpool/avhmom1lg8fqyph5f8yn4oftg,Atletico madrid Vs Liverpool,10/19/21,https://www.goal.com/en/match/atletico-madrid-vs-liverpool/avhmom1lg8fqyph5f8yn4oftg,Group Stage,1,Normal Time
63," Reus will not complete his hat-trick, as he makes way for Haaland to make his Champions League comeback. ",substitution,"[' E. Haaland ', ' M. Reus ']",Borussia Dortmund,timer,Borussia Dortmund,BVB,Besiktas,BJK,5 - 0,Borussia dortmund Vs Besiktas,12/07/21,https://www.goal.com/en/match/borussia-dortmund-vs-besiktas/2wd5hkymuuwc199tirolu1ous,Borussia dortmund Vs Besiktas,12/07/21,https://www.goal.com/en/match/borussia-dortmund-vs-besiktas/2wd5hkymuuwc199tirolu1ous,Group Stage,2,Normal Time
63," GOOOOALLLL!!! Finally, City have their goal!!! Walker shoots forward and Rodri finds him, before crossing on the volley across the face of goal. It's through the legs of Jesus, and Sterling is there to tap it into the far corner to level the scores at 1-1!!! What a game we have going on here! ",goal,"[' R. Sterling ', ' Goal ']",Manchester City,timer,Manchester City,MCI,PSG,PSG,2 - 1,Manchester city Vs Psg,11/24/21,https://www.goal.com/en/match/manchester-city-vs-psg/409iyefp9jmhwy2dvuul0mec4,Manchester city Vs Psg,11/24/21,https://www.goal.com/en/match/manchester-city-vs-psg/409iyefp9jmhwy2dvuul0mec4,Group Stage,2,Normal Time
63, Abubakari makes his way on to the field to replace Colak. ,substitution,"[' M. Abubakari ', ' A. Colak ']",Malmo FF,timer,Zenit,ZEN,Malmo FF,MFF,4 - 0,Zenit vs Malmoe Ff,09/29/21,https://www.goal.com/en/match/zenit-vs-malmoe-ff/eufad2i42vqc3y39jklecckd0,Zenit vs Malmoe Ff,09/29/21,https://www.goal.com/en/match/zenit-vs-malmoe-ff/eufad2i42vqc3y39jklecckd0,Group Stage,1,Normal Time
63," HALLER HAS FOUR!!!! SPORTING 1-5 AJAX - Haller take a bow! The Ajax frontman takes his tally to four for the night, and he continues to make every single finish look incredibly easy. This time it was Mazraoui's turn to be the provider, and his powerful throughball picked out Haller. The Ivory Coast international turned his marker and waited for Adan to commit himself before placing the ball into the corner of the goal. ",goal,"[' S. Haller ', ' Goal ']",Ajax,timer,Sporting CP,SCP,Ajax,AJX,1 - 5,Sporting cp Vs Ajax,09/15/21,https://www.goal.com/en/match/sporting-cp-vs-ajax/2vcs9w89lmrhs1bf2w745apsk,Sporting cp Vs Ajax,09/15/21,https://www.goal.com/en/match/sporting-cp-vs-ajax/2vcs9w89lmrhs1bf2w745apsk,Group Stage,1,Normal Time
63, Ridle Baku replaces Kevin Mbabu in Wolfsburg's third change of the game. ,substitution,"[' R. Baku ', ' K. Mbabu ']",Wolfsburg,timer,Wolfsburg,WOB,Lille,LIL,1 - 3,Wolfsburg vs Lille,12/08/21,https://www.goal.com/en/match/wolfsburg-vs-lille/7tddnydg0y973f4592dtzkw0k,Wolfsburg vs Lille,12/08/21,https://www.goal.com/en/match/wolfsburg-vs-lille/7tddnydg0y973f4592dtzkw0k,Group Stage,2,Normal Time
63," GOALLLLLLLLLLLLLLLLLLLL!!!!! PULISIC FINISHES AN INCISIVE CHELSEA BREAK!!!!! 2-0!!!!!! The home side double their lead through Pulisic, who clips an effort over Jardim. Kante is the architect of the goal as he surges through the middle of the Lille midfield and then supplies an offload to Pulisic. The USA international takes the ball in stride and then holds his composure to find the bottom-right corner with a strike over the Lille keeper. ",goal,"[' C. Pulisic ', ' Goal ']",Chelsea,timer,Chelsea,CHE,Lille,LIL,2 - 0,Chelsea vs Lille,02/22/22,https://www.goal.com/en/match/chelsea-vs-lille/pbr39zu13abq4hbvw4jrsm50,Chelsea vs Lille,02/22/22,https://www.goal.com/en/match/chelsea-vs-lille/pbr39zu13abq4hbvw4jrsm50,R16,1,Normal Time
63," Mazraoui has been relatively quiet tonight, but that is some way to make an impact as he gets an assist thanks to a superb pass. ",assist,"[' N. Mazraoui ', ' Assist ']",Ajax,timer,Sporting CP,SCP,Ajax,AJX,1 - 5,Sporting cp Vs Ajax,09/15/21,https://www.goal.com/en/match/sporting-cp-vs-ajax/2vcs9w89lmrhs1bf2w745apsk,Sporting cp Vs Ajax,09/15/21,https://www.goal.com/en/match/sporting-cp-vs-ajax/2vcs9w89lmrhs1bf2w745apsk,Group Stage,1,Normal Time
63," And Tsimikas is also taken off, with Robertson on for him. ",substitution,"[' A. Robertson ', ' K. Tsimikas ']",Liverpool,timer,Liverpool,LIV,Porto,POR,2 - 0,Liverpool vs Porto,11/24/21,https://www.goal.com/en/match/liverpool-vs-porto/avuukrfg26vn3nbwkf4q7royc,Liverpool vs Porto,11/24/21,https://www.goal.com/en/match/liverpool-vs-porto/avuukrfg26vn3nbwkf4q7royc,Group Stage,2,Normal Time
63," Liverpool are making a double change here and it's the goal scorer, Thiago, who goes off for Henderson. ",substitution,"[' J. Henderson ', ' Thiago Alcantara ']",Liverpool,timer,Liverpool,LIV,Porto,POR,2 - 0,Liverpool vs Porto,11/24/21,https://www.goal.com/en/match/liverpool-vs-porto/avuukrfg26vn3nbwkf4q7royc,Liverpool vs Porto,11/24/21,https://www.goal.com/en/match/liverpool-vs-porto/avuukrfg26vn3nbwkf4q7royc,Group Stage,2,Normal Time
63, Casemiro is booked after a strong challenge on Maycon in midfield. ,yellow_card,"[' Casemiro ', ' Yellow Card ']",Real Madrid,timer,Real Madrid,RMA,Shakhtar Donetsk,SHK,2 - 1,Real madrid Vs Shakhtar Donetsk,11/03/21,https://www.goal.com/en/match/real-madrid-vs-shakhtar-donetsk/9ug1jqxq7v7c2ts42r3q0iihg,Real madrid Vs Shakhtar Donetsk,11/03/21,https://www.goal.com/en/match/real-madrid-vs-shakhtar-donetsk/9ug1jqxq7v7c2ts42r3q0iihg,Group Stage,2,Normal Time
63, Kante makes a charge through the Lille midfield and picks out the run of Pulisic to allow the forward to finish from close range. ,assist,"[' N. Kante ', ' Assist ']",Chelsea,timer,Chelsea,CHE,Lille,LIL,2 - 0,Chelsea vs Lille,02/22/22,https://www.goal.com/en/match/chelsea-vs-lille/pbr39zu13abq4hbvw4jrsm50,Chelsea vs Lille,02/22/22,https://www.goal.com/en/match/chelsea-vs-lille/pbr39zu13abq4hbvw4jrsm50,R16,1,Normal Time
63," Origi went down off the ball in the centre circle, and after receiving some treatment, he's going straight off to be replaced by Mane. ",substitution,"[' S. Mane ', ' D. Origi ']",Liverpool,timer,Liverpool,LIV,Milan,MIL,3 - 2,Liverpool vs Milan,09/15/21,https://www.goal.com/en/match/liverpool-vs-milan/ava02stkxvd27sho7rpfvabys,Liverpool vs Milan,09/15/21,https://www.goal.com/en/match/liverpool-vs-milan/ava02stkxvd27sho7rpfvabys,Group Stage,1,Normal Time
63, Capoue over-stretches after losing control of the ball. He catches Fabinho and goes into the book. ,yellow_card,"[' E. Capoue ', ' Yellow Card ']",Villarreal,timer,Villarreal,VIL,Liverpool,LIV,2 - 3,Villarreal vs Liverpool,05/03/22,https://www.goal.com/en/match/villarreal-vs-liverpool/d59h06mlytxu3zzkheyc6m1as,Villarreal vs Liverpool,05/03/22,https://www.goal.com/en/match/villarreal-vs-liverpool/d59h06mlytxu3zzkheyc6m1as,SF,2,Normal Time
63, Jereme Roussillon replaces Paulo Otavio in Wolfsburg's second change of the game. ,substitution,"[' J. Roussillon ', ' Paulo Otavio ']",Wolfsburg,timer,Wolfsburg,WOB,Lille,LIL,1 - 3,Wolfsburg vs Lille,12/08/21,https://www.goal.com/en/match/wolfsburg-vs-lille/7tddnydg0y973f4592dtzkw0k,Wolfsburg vs Lille,12/08/21,https://www.goal.com/en/match/wolfsburg-vs-lille/7tddnydg0y973f4592dtzkw0k,Group Stage,2,Normal Time
63," Taarabt is the first Benfica man to enter the book, tripping Keita as the Liverpool midfielder looks to accelerate through midfield. ",yellow_card,"[' A. Taarabt ', ' Yellow Card ']",Benfica,timer,Benfica,SLB,Liverpool,LIV,1 - 3,Benfica vs Liverpool,04/05/22,https://www.goal.com/en/match/benfica-vs-liverpool/76m6aq0drov618phf94yy1k44,Benfica vs Liverpool,04/05/22,https://www.goal.com/en/match/benfica-vs-liverpool/76m6aq0drov618phf94yy1k44,QF,1,Normal Time
63, The Lille players surrounded the referee to appeal for that red card and Ikone is shown a yellow card for his complaints ,yellow_card,"[' J. Ikone ', ' Yellow Card ']",Lille,timer,Lille,LIL,Wolfsburg,WOB,0 - 0,Lille vs Wolfsburg,09/14/21,https://www.goal.com/en/match/lille-vs-wolfsburg/7sjck8skx2crtvh8n6t7qgbv8,Lille vs Wolfsburg,09/14/21,https://www.goal.com/en/match/lille-vs-wolfsburg/7sjck8skx2crtvh8n6t7qgbv8,Group Stage,1,Normal Time
63, Costanza makes a poor challenge and he is now booked as a result. ,yellow_card,"[' Fernando Costanza ', ' Yellow Card ']",Sheriff,timer,Sheriff,SHE,Internazionale,INT,1 - 3,Sheriff vs Internazionale,11/03/21,https://www.goal.com/en/match/sheriff-vs-internazionale/9uir0gj9wjm4nk7ewaq6cmu50,Sheriff vs Internazionale,11/03/21,https://www.goal.com/en/match/sheriff-vs-internazionale/9uir0gj9wjm4nk7ewaq6cmu50,Group Stage,2,Normal Time
63, Sanusi is replaced by Wendell in defence. ,substitution,"[' Wendell ', ' Z. Sanusi ']",Porto,timer,Porto,POR,Atletico Madrid,ATM,1 - 3,Porto vs Atletico Madrid,12/07/21,https://www.goal.com/en/match/porto-vs-atletico-madrid/aw01wpz60yu5annjnzy0kfwgk,Porto vs Atletico Madrid,12/07/21,https://www.goal.com/en/match/porto-vs-atletico-madrid/aw01wpz60yu5annjnzy0kfwgk,Group Stage,2,Normal Time
64," Inzaghi freshens up his midfield, with playmaker Perisic on in place of Dimarco. ",substitution,"[' I. Perisic ', ' F. Dimarco ']",Internazionale,timer,Sheriff,SHE,Internazionale,INT,1 - 3,Sheriff vs Internazionale,11/03/21,https://www.goal.com/en/match/sheriff-vs-internazionale/9uir0gj9wjm4nk7ewaq6cmu50,Sheriff vs Internazionale,11/03/21,https://www.goal.com/en/match/sheriff-vs-internazionale/9uir0gj9wjm4nk7ewaq6cmu50,Group Stage,2,Normal Time
64," Bayern have responded by making a double change of their own, with Coman heading off and he has been replaced by Musiala. ",substitution,"[' J. Musiala ', ' K. Coman ']",Bayern Munchen,timer,Bayern Munchen,FCB,Benfica,SLB,5 - 2,Bayern muenchen Vs Benfica,11/02/21,https://www.goal.com/en/match/bayern-muenchen-vs-benfica/11xmy2skd2sd3todqoy6ewb2s,Bayern muenchen Vs Benfica,11/02/21,https://www.goal.com/en/match/bayern-muenchen-vs-benfica/11xmy2skd2sd3todqoy6ewb2s,Group Stage,2,Normal Time
64," Pizzi is the third Benfica man to come off, with Rafa Silva coming on. ",substitution,"[' Rafa ', ' Pizzi ']",Benfica,timer,Bayern Munchen,FCB,Benfica,SLB,5 - 2,Bayern muenchen Vs Benfica,11/02/21,https://www.goal.com/en/match/bayern-muenchen-vs-benfica/11xmy2skd2sd3todqoy6ewb2s,Bayern muenchen Vs Benfica,11/02/21,https://www.goal.com/en/match/bayern-muenchen-vs-benfica/11xmy2skd2sd3todqoy6ewb2s,Group Stage,2,Normal Time
64, Yaremchuk is another to head off and he has been replaced by Nunez. ,substitution,"[' D. Nunez ', ' R. Yaremchuk ']",Benfica,timer,Bayern Munchen,FCB,Benfica,SLB,5 - 2,Bayern muenchen Vs Benfica,11/02/21,https://www.goal.com/en/match/bayern-muenchen-vs-benfica/11xmy2skd2sd3todqoy6ewb2s,Bayern muenchen Vs Benfica,11/02/21,https://www.goal.com/en/match/bayern-muenchen-vs-benfica/11xmy2skd2sd3todqoy6ewb2s,Group Stage,2,Normal Time
64," Benfica are making a triple substitution now, with Everton one of those coming off and he has been replaced by Goncalves. ",substitution,"[' Diogo Goncalves ', ' Everton ']",Benfica,timer,Bayern Munchen,FCB,Benfica,SLB,5 - 2,Bayern muenchen Vs Benfica,11/02/21,https://www.goal.com/en/match/bayern-muenchen-vs-benfica/11xmy2skd2sd3todqoy6ewb2s,Bayern muenchen Vs Benfica,11/02/21,https://www.goal.com/en/match/bayern-muenchen-vs-benfica/11xmy2skd2sd3todqoy6ewb2s,Group Stage,2,Normal Time
64, Verbic is replaced by De Pena in attack. ,substitution,"[' C. de Pena ', ' B. Verbic ']",Dynamo Kyiv,timer,Benfica,SLB,Dynamo Kyiv,DYN,2 - 0,Benfica vs Dynamo Kyiv,12/08/21,https://www.goal.com/en/match/benfica-vs-dynamo-kyiv/12br06ktdmz56oys6s7zmfk7o,Benfica vs Dynamo Kyiv,12/08/21,https://www.goal.com/en/match/benfica-vs-dynamo-kyiv/12br06ktdmz56oys6s7zmfk7o,Group Stage,2,Normal Time
64," Lukaku is also coming on for the hosts, replacing the underwhelming Pulisic in the Chelsea frontline. ",substitution,"[' R. Lukaku ', ' C. Pulisic ']",Chelsea,timer,Chelsea,CHE,Real Madrid,RMA,1 - 3,Chelsea vs Real Madrid,04/06/22,https://www.goal.com/en/match/chelsea-vs-real-madrid/1ms9q6bpnzn10bvvrjovyo9w4,Chelsea vs Real Madrid,04/06/22,https://www.goal.com/en/match/chelsea-vs-real-madrid/1ms9q6bpnzn10bvvrjovyo9w4,QF,1,Normal Time
64, Final roll of the dice for Atletico now as Kondogbia is taken off and replaced by Lemar. ,substitution,"[' T. Lemar ', ' G. Kondogbia ']",Atletico Madrid,timer,Milan,MIL,Atletico Madrid,ATM,1 - 2,Milan vs Atletico Madrid,09/28/21,https://www.goal.com/en/match/milan-vs-atletico-madrid/avf1qcwelwvm3v9hevti86j2s,Milan vs Atletico Madrid,09/28/21,https://www.goal.com/en/match/milan-vs-atletico-madrid/avf1qcwelwvm3v9hevti86j2s,Group Stage,1,Normal Time
64, Lemar is withdrawn after an uneventful game and is replaced by Correa. ,substitution,"[' A. Correa ', ' T. Lemar ']",Atletico Madrid,timer,Atletico Madrid,ATM,Milan,MIL,0 - 1,Atletico madrid Vs Milan,11/24/21,https://www.goal.com/en/match/atletico-madrid-vs-milan/avs81cri92de15i1jswg33pck,Atletico madrid Vs Milan,11/24/21,https://www.goal.com/en/match/atletico-madrid-vs-milan/avs81cri92de15i1jswg33pck,Group Stage,2,Normal Time
64," Nacho, meanwhile, is finally replacing the injured Militao in the heart of the visitors' backline. ",substitution,"[' Nacho ', ' Eder Militao ']",Real Madrid,timer,Chelsea,CHE,Real Madrid,RMA,1 - 3,Chelsea vs Real Madrid,04/06/22,https://www.goal.com/en/match/chelsea-vs-real-madrid/1ms9q6bpnzn10bvvrjovyo9w4,Chelsea vs Real Madrid,04/06/22,https://www.goal.com/en/match/chelsea-vs-real-madrid/1ms9q6bpnzn10bvvrjovyo9w4,QF,1,Normal Time
64, Hermoso leaves the field for the hosts and is replaced by Lodi. ,substitution,"[' Renan Lodi ', ' Hermoso ']",Atletico Madrid,timer,Atletico Madrid,ATM,Milan,MIL,0 - 1,Atletico madrid Vs Milan,11/24/21,https://www.goal.com/en/match/atletico-madrid-vs-milan/avs81cri92de15i1jswg33pck,Atletico madrid Vs Milan,11/24/21,https://www.goal.com/en/match/atletico-madrid-vs-milan/avs81cri92de15i1jswg33pck,Group Stage,2,Normal Time
64," Loftus-Cheek replaces Jorginho in the Chelsea midfield, as Tuchel looks to add some energy to the hosts' engine room. ",substitution,"[' R. Loftus-Cheek ', ' Jorginho ']",Chelsea,timer,Chelsea,CHE,Real Madrid,RMA,1 - 3,Chelsea vs Real Madrid,04/06/22,https://www.goal.com/en/match/chelsea-vs-real-madrid/1ms9q6bpnzn10bvvrjovyo9w4,Chelsea vs Real Madrid,04/06/22,https://www.goal.com/en/match/chelsea-vs-real-madrid/1ms9q6bpnzn10bvvrjovyo9w4,QF,1,Normal Time
64," Cole Palmer is also introduced by Pep Guardiola, in place of midfield talisman De Bruyne. ",substitution,"[' C. Palmer ', ' K. De Bruyne ']",Manchester City,timer,Club Brugge,CLU,Manchester City,MCI,1 - 5,Club brugge Vs Manchester City,10/19/21,https://www.goal.com/en/match/club-brugge-vs-manchester-city/400qamkhlfn5jp2tfydnlak9g,Club brugge Vs Manchester City,10/19/21,https://www.goal.com/en/match/club-brugge-vs-manchester-city/400qamkhlfn5jp2tfydnlak9g,Group Stage,1,Normal Time
64, Salah's evening is done after adding another goal to his tally for the season. Keita replaces the forward. ,substitution,"[' N. Keita ', ' Mohamed Salah ']",Liverpool,timer,Milan,MIL,Liverpool,LIV,1 - 2,Milan vs Liverpool,12/07/21,https://www.goal.com/en/match/milan-vs-liverpool/avxiyvs2ej0bxq741dcc2m8es,Milan vs Liverpool,12/07/21,https://www.goal.com/en/match/milan-vs-liverpool/avxiyvs2ej0bxq741dcc2m8es,Group Stage,2,Normal Time
64, Pioli withdraws Kalulu down the right flank as Florenzi enters the action. ,substitution,"[' A. Florenzi ', ' P. Kalulu ']",Milan,timer,Milan,MIL,Liverpool,LIV,1 - 2,Milan vs Liverpool,12/07/21,https://www.goal.com/en/match/milan-vs-liverpool/avxiyvs2ej0bxq741dcc2m8es,Milan vs Liverpool,12/07/21,https://www.goal.com/en/match/milan-vs-liverpool/avxiyvs2ej0bxq741dcc2m8es,Group Stage,2,Normal Time
64, Mane is withdrawn by Klopp after a solid shift. Gomez replaces the forward to shore up the defence. ,substitution,"[' J. Gomez ', ' S. Mane ']",Liverpool,timer,Milan,MIL,Liverpool,LIV,1 - 2,Milan vs Liverpool,12/07/21,https://www.goal.com/en/match/milan-vs-liverpool/avxiyvs2ej0bxq741dcc2m8es,Milan vs Liverpool,12/07/21,https://www.goal.com/en/match/milan-vs-liverpool/avxiyvs2ej0bxq741dcc2m8es,Group Stage,2,Normal Time
64, Villarreal make the game's first change. Coquelin comes on for the quiet Trigueros. ,substitution,"[' F. Coquelin ', ' Manu Trigueros ']",Villarreal,timer,Juventus,JUV,Villarreal,VIL,0 - 3,Juventus vs Villarreal,03/16/22,https://www.goal.com/en/match/juventus-vs-villarreal/q8gj6kwaxc2o9ejaarx41b10,Juventus vs Villarreal,03/16/22,https://www.goal.com/en/match/juventus-vs-villarreal/q8gj6kwaxc2o9ejaarx41b10,R16,2,Normal Time
